Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
175,195.0,5.0,13.Kat,,4,Kombi Doğalgaz,3950000.0,adana,15,Mülk Sahibi Oturuyor,,Var,,2.0
105,125.0,4.0,,,11-15,Klimalı,1245000.0,adana,2,Boş,,,Müstakil Tapulu,1.0
40,50.0,2.0,1.Kat,Boş,0 (Yeni),Isıtma Yok,870000.0,adana,11,Boş,Uygun,Var,Kat Mülkiyeti,1.0
220,240.0,5.0,1.Kat,,5-10,Merkezi (Pay Ölçer),5250000.0,adana,15,Boş,Uygun,,Kat Mülkiyeti,2.0
150,170.0,4.0,1.Kat,,11-15,Kombi Doğalgaz,2499000.0,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,1.0
75,90.0,3.0,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1600000.0,adana,11,Boş,,,,2.0
110,125.0,4.0,8.Kat,Boş,2,Kombi Doğalgaz,3050000.0,adana,11,Boş,Bilinmiyor,Yok,,1.0
110,130.0,4.0,5.Kat,Boş,0 (Yeni),Klimalı,1920000.0,adana,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2.0
100,202.0,4.0,,Boş,0 (Yeni),Kombi Doğalgaz,4250000.0,adana,2,Boş,Bilinmiyor,Yok,,2.0
75,90.0,2.0,7.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1095000.0,adana,11,Boş,Uygun,Var,Kat Mülkiyeti,1.0
85,100.0,3.0,11.Kat,,3,Kombi Doğalgaz,1745000.0,adana,12,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,2.0
75,80.0,3.0,2.Kat,,0 (Yeni),Isıtma Yok,1650000.0,adana,14,Boş,,,,2.0
